8241,117,2584
8234,15,384
8229,13,376
8241,126,2706
8252,95,2233
8229,29,692
25,63,1543
8230,21,432
8238,73,1706
8229,26,623
8230,14,380
1,1,0
5,82,1827
3,20,402
8232,25,578
8229,8,217
13,35,854
15,43,1072
13,64,1555
8232,10,242
8229,2,36
15,129,2756
2,13,376
13,45,1151
0,0,0
25,95,2233
8230,68,1643
29,86,1996
8241,39,939
8229,19,402
8232,121,2610
8232,9,218
2,8,217
8241,42,1026
5,89,2063
5,96,2285
15,39,939
5,93,2127
38,131,2785
2,3,77
8230,30,715
15,117,2584
15,126,2706
8241,129,2756
3,21,432
2,19,402
5,114,2561
5,106,2438
2,5,150
12,73,1706
8229,23,465
8238,59,1496
12,59,1496
5,62,1531
8229,98,2313
20,122,2627
8256,85,1925
8230,28,674
8238,52,1301
8232,48,1199
8238,32,742
2,29,692
8239,40,959
8232,37,872
5,67,1630
8244,47,1177
8232,93,2127
8229,36,854
2,98,2313
8232,132,2805
2,2,36
15,42,1026
8239,74,1713
5,81,1814
8232,114,2561
8232,70,1664
8262,100,2343
8232,49,1214
5,130,2774
2,36,854
8230,20,402
8265,127,2745
8229,12,300
3,6,153
5,71,1677
8232,67,1630
12,52,1301
8232,89,2063
8232,96,2285
3,28,674
8256,86,1996
5,25,578
13,40,959
2,23,465
8256,75,1724
8229,116,2574
5,37,872
2,12,300
8232,81,1814
5,9,218
5,60,1508
3,68,1643
8232,106,2438
8232,130,2774
38,127,2745
5,132,2805
13,74,1713
30,77,1771
8232,82,1827
8230,6,153
5,70,1664
2,116,2574
5,49,1214
8239,35,854
8232,71,1677
8239,64,1555
8241,43,1072
8229,41,989
7,15,384
8232,62,1531
3,30,715
3,14,380
8230,4,131
8245,51,1255
8239,45,1151
8265,131,2785
5,48,1199
8229,3,77
3,4,131
2,26,623
29,85,1925
5,10,242
35,100,2343
19,51,1255
8232,60,1508
8229,5,150
34,91,2079
2,41,989
8252,63,1543
12,32,742
5,121,2610
29,75,1724
