1022031,367339,4
320304,722,7
248474,183526,6
665082,308681,8
1022031,213566,11
664413,1962,17
378539,21748,9
863571,149394,1
1027669,46541,10
362258,113569,3
36910,103094,16
974581,56608,1
364349,149394,1
877763,99546,6
565560,115919,6
208885,93568,2
977770,103752,9
814997,56851,0
509776,380374,8
490437,76184,1
359461,396071,11
427926,190518,16
284197,368445,11
106493,187389,4
861536,309,15
111331,132868,3
497622,67514,7
725439,66565,10
958136,289535,0
410996,380846,4
914783,109699,11
477835,139034,8
533625,360344,0
664413,433424,17
407655,257740,12
59787,42041,11
315942,432236,6
940737,309283,1
141470,286222,8
152434,29629,12
68944,217644,9
92572,438925,13
33834,270280,8
817354,2394,3
168476,270280,8
192230,342026,8
325077,393461,8
358763,370826,5
719938,9894,15
762573,110355,2
647066,102588,3
655272,92321,3
988466,405695,11
27359,385290,7
118130,156687,6
1033087,212187,13
919505,357072,3
515070,158867,0
1075176,517,15
647066,231135,8
59005,4859,5
914783,184079,9
141567,55439,6
360532,309283,1
221855,48750,14
683726,4215,13
235342,257258,4
248363,342026,8
1040025,152151,10
705515,114864,3
577247,45123,2
765631,33411,3
47102,42041,11
813416,276879,13
932642,310249,1
93953,378952,14
101159,130806,8
154790,56822,15
830005,1585,11
1045413,60372,8
679494,76184,1
565699,341910,1
922408,275272,4
96442,334132,1
9433,93568,2
549750,332553,3
352090,297887,8
822779,334132,1
968641,144440,5
347714,2282,14
875454,73923,14
575413,42572,5
317597,410326,1
717823,188195,10
978208,315816,1
310218,931,9
1070144,432236,6
394907,96921,1
967956,374193,1
978040,368532,6
365765,407370,9
924649,406102,7
118861,156093,5
896701,103752,9
736373,68196,15
365828,402479,9
926991,433512,15
358140,191332,16
728596,120865,11
400438,56608,1
929389,49390,10
454563,147372,6
94783,1096,3
168476,183526,6
835339,91769,6
688272,67514,7
58090,363306,10
35673,278876,9
281367,133538,15
916662,109724,8
806153,25885,0
703217,275272,4
213332,94402,9
780042,1296,10
1093625,147372,6
883611,252257,15
288019,212187,13
901908,363306,10
431404,257740,12
720384,285905,8
852630,374193,1
296308,279767,13
427433,109724,8
152612,60175,4
89703,139034,8
434295,55439,6
702019,438925,13
263247,132744,3
427926,55753,13
1067963,25901,1
806800,19899,1
896701,299559,9
672688,281930,11
245500,431643,1
611574,342867,7
168153,342867,7
921339,257258,4
37863,11864,9
998589,29654,1
1093844,91769,6
765631,2282,14
830955,433814,3
37780,1096,3
647068,189686,1
1001689,299559,9
880377,10130,8
822654,19899,1
565699,353394,8
991884,278876,9
875454,289867,15
767814,200257,1
877752,327328,5
920547,2175,10
168476,244953,1
514591,149249,10
644840,2367,1
1023041,233159,0
565699,200257,1
490948,152151,10
608298,310249,1
494676,102588,3
733403,25901,1
899899,290927,3
33834,244953,1
59876,46947,1
363488,233159,0
787081,147243,1
56052,114552,3
988466,56851,0
562213,115919,6
551387,409480,6
548430,60175,4
375410,517,15
740897,353394,8
1021536,252257,15
338305,345856,13
812586,31686,4
367364,162817,3
607874,128396,1
754269,135652,4
560194,9894,15
561056,1135,5
506365,289116,15
730679,327439,8
271044,213566,11
1058101,297887,8
1089202,1012,1
492568,43030,8
700721,1302,9
845974,34535,10
208885,212479,5
1018118,121834,1
516858,329083,6
514014,279223,1
460195,368532,6
1075176,1585,11
222685,120865,11
484384,29629,12
478039,431643,1
66042,405863,1
1033510,120616,6
472804,296791,0
365765,409480,6
161307,4859,5
527863,132868,3
985016,156093,5
814997,405695,11
746641,29654,1
892331,67214,0
877763,433512,15
827655,49390,10
672830,55753,13
334744,128396,1
741462,7360,3
294714,96921,1
469272,367339,4
325077,261738,6
564339,158441,14
452793,31686,4
106493,121834,1
730190,147243,1
399903,144440,5
317597,405863,1
200888,404875,3
334731,92321,3
16865,11864,9
1056493,90575,0
544137,286222,8
33987,2367,1
84984,380374,8
818601,338776,14
1084121,595,2
521378,136768,9
84984,130806,8
16865,109699,11
28078,2175,10
360094,393047,7
413650,190518,16
383608,311279,2
360532,217644,9
924464,254388,14
319338,186949,13
926991,433424,17
610947,1296,10
942145,35495,8
102687,374936,5
0,0,0
371472,158867,0
943238,252511,3
1018118,357072,3
373301,254388,14
16865,184079,9
712801,356184,8
363963,124276,11
791669,595,2
133536,722,7
875086,219146,0
78485,312001,12
589941,1012,1
883611,7360,3
426421,329083,6
144400,158441,14
999882,1135,5
445897,410326,1
836506,133538,15
1061055,276879,13
53466,380846,4
9433,212479,5
587387,4894,15
644182,261738,6
278420,199549,2
822779,309,15
1029867,80731,5
58090,367254,10
76757,260584,2
334731,360344,0
643847,11431,6
650712,352639,10
679474,407370,9
132486,42572,5
437510,343176,15
18427,385290,7
453020,352639,10
72541,1302,9
963462,34535,10
691833,308681,8
901908,367254,10
604720,231135,8
508521,413431,1
933869,186949,13
1067374,433814,3
278582,279767,13
336762,2075,1
956910,285905,8
91274,219834,8
576562,312101,6
103715,114552,3
628429,353417,15
343913,33411,3
59005,4894,15
492317,191332,16
644182,393461,8
566493,219834,8
331883,142289,1
578503,21748,9
296234,74800,16
384975,931,9
871182,393827,15
393395,124276,11
649326,355629,8
773636,43030,8
248474,353417,15
273734,341910,1
902168,2394,3
575756,45123,2
1071578,252511,3
505184,311279,2
877763,1962,17
196567,356184,8
1018118,187389,4
671780,289535,0
118093,156687,6
702396,375667,15
579868,205167,1
381105,352998,2
279959,120616,6
20285,103094,16
664413,99546,6
646486,370826,5
